priceDate,open,low,high,close,volume,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,CostOfRevenue,GrossProfit,CashAndCashEquivalentsAtCarryingValue,LongTermDebt,DebtCurrent,Assets,LiabilitiesCurrent,InventoryNet,ResearchAndDevelopmentExpense,weather_code,temperature_2m_max,temperature_2m_min
1704409200.0,236.86,234.9001,240.1196,237.49,92488939.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,1.0,2.8174999,-5.3325
1704322800.0,239.25,237.73,242.7,237.93,102629283.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,6.6675,-3.0325
1704236400.0,244.98,236.32,245.68,238.45,121082599.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,7.5175004,-2.1325
1704150000.0,250.08,244.41,251.25,248.42,104654163.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,0.0,5.4675,-4.4824996
1703804400.0,255.1,247.43,255.19,248.48,100891578.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,13.1675,7.4175
1703718000.0,263.66,252.71,265.13,253.18,113619943.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,65.0,11.4175,9.0175
1703631600.0,258.35,257.52,263.34,261.44,106494359.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,55.0,9.367499,5.6175003
1703545200.0,254.49,252.91,257.97,256.61,86892382.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,7.8175,3.2675
1703199600.0,256.76,251.37,258.22,252.54,93370094.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,2.4675,-5.5325
1703113200.0,251.9,248.55,254.7999,254.5,109594227.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,1.0,3.9175,-3.6325
1703026800.0,256.41,247.0,259.84,247.14,125096987.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,0.0,7.1675,-3.7825
1702940400.0,253.48,253.01,258.3399,257.22,106737369.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,2.0,6.0675,-1.5325
1702854000.0,253.78,251.36,258.74,252.08,116416490.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,65.0,15.7675,4.5675
1702594800.0,251.21,248.3,254.13,253.5,135932762.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,1.0,11.9175,-0.7825
1702508400.0,241.22,240.79,253.88,251.05,160829239.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,2.0,4.3675003,-3.3325
1702422000.0,234.19,228.2,240.3,239.29,146286348.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,1.0,7.2675004,-0.6825
1702335600.0,238.55,233.87,238.99,237.01,95328313.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,0.0,5.9175,-2.2325
1702249200.0,242.74,237.45,243.441,239.74,97913888.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,63.0,10.2675,1.6675
1701990000.0,240.27,239.2701,245.27,243.84,103126829.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,8.5675,-1.4825001
1701903600.0,241.55,236.98,244.08,242.64,107142262.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,3.3675,-3.2825
1701817200.0,242.92,239.1709,246.57,239.37,126436179.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,4.7675004,-1.8825
1701730800.0,233.87,233.7,246.66,238.72,137971115.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,6.4675,1.1675
1701644400.0,235.75,233.2902,239.3733,235.58,104099817.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,10.8175,4.0175004
1701385200.0,233.14,231.9,240.19,238.83,121331709.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,61.0,8.2175,0.11750001
1701298800.0,245.14,236.91,245.22,240.08,132353196.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,1.0,9.3175,-2.8825
1701212400.0,249.21,242.76,252.75,244.14,135401335.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,2.0,2.4175,-4.4824996
1701126000.0,236.68,234.01,247.0,246.72,148549913.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,2.0,3.7175,-2.1325
1701039600.0,236.89,232.1,238.33,236.08,112031763.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,61.0,13.367499,1.9675
1700780400.0,233.75,232.33,238.75,235.45,65125203.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,1.0,9.617499,-0.73249996
1700607600.0,242.04,231.4,244.01,234.21,118117078.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,63.0,14.0675,7.6175003
1700521200.0,235.04,233.34,243.62,241.2,122288000.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,61.0,9.367499,-0.88250005
1700434800.0,234.04,231.02,237.1,235.6,116562402.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,1.0,6.6675,-1.1325
1700175600.0,232.0,226.54,237.39,234.3,142766234.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,18.1175,4.6175003
1700089200.0,239.49,230.96,240.88,233.59,136816819.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,2.0,17.2175,2.2175
1700002800.0,239.29,236.45,246.7,242.84,150353975.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,9.9675,-0.3825
1699916400.0,235.03,230.72,238.135,237.41,149771642.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,10.9175,2.4675
1699830000.0,215.6,211.6101,225.4,223.71,140447569.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,2.0,8.117499,-1.7325001
1699570800.0,210.03,205.69,215.38,214.65,131310128.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,10.5675,5.2675004
1699484400.0,219.75,206.68,220.8,209.98,142110454.0,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,15.7675,2.8174999
