priceDate,open,low,high,close,volume
1691366400000000000,251.45,242.76,253.6511,251.45,111097943.0
1691107200000000000,260.97,253.11,264.77,253.86,99539907.0
1691020800000000000,252.04,252.0,260.49,259.32,97829545.0
1690934400000000000,255.57,250.49,259.52,254.11,101752865.0
1690848000000000000,266.26,260.25,266.47,261.07,83645720.0
1690761600000000000,267.48,263.78,269.08,267.43,84582172.0
1690502400000000000,259.86,258.2312,267.25,266.44,111446026.0
1690416000000000000,268.31,255.3,269.13,255.71,103697263.0
1690329600000000000,263.25,261.75,268.04,264.35,95856177.0
1690243200000000000,272.38,265.0,272.9,265.28,112757327.0
1690156800000000000,255.85,254.12,269.85,269.06,137005037.0
1689897600000000000,268.0,255.8,268.0,260.02,161796073.0
1689811200000000000,279.56,261.2,280.93,262.9,175158273.0
1689724800000000000,296.04,289.5201,299.29,291.26,142355353.0
1689638400000000000,290.15,286.01,295.26,293.34,112434713.0
1689552000000000000,286.625,283.57,292.23,290.38,131569593.0
1689292800000000000,277.01,276.31,285.3,281.38,120062369.0
1689206400000000000,274.59,270.6,279.45,277.9,112681458.0
1689120000000000000,276.325,271.46,276.52,271.99,95672139.0
1689033600000000000,268.65,266.37,270.9,269.79,91972358.0
1688947200000000000,276.47,265.1,277.52,269.61,119425405.0
1688688000000000000,278.43,273.77,280.78,274.43,113879174.0
1688601600000000000,278.09,272.88,279.97,276.54,120707419.0
1688515200000000000,278.82,277.6,283.85,282.48,131530862.0
1688342400000000000,276.49,275.11,284.25,279.82,119685891.0
1688083200000000000,260.6,259.89,264.45,261.77,112620784.0
1687996800000000000,258.03,253.61,260.74,257.5,131283360.0
1687910400000000000,249.7,248.89,259.88,256.24,159770797.0
1687824000000000000,243.24,240.85,250.3899,250.21,164968214.0
1687737600000000000,250.065,240.7,258.37,241.05,179990552.0
1687478400000000000,259.29,252.8,262.45,256.6,177460803.0
1687392000000000000,250.77,248.25,265.0,264.61,166875944.0
1687305600000000000,275.13,257.78,276.99,259.46,211797109.0
1687219200000000000,261.5,261.12,274.75,274.45,165611217.0
1686873600000000000,258.92,257.2091,263.6,260.54,167915649.0
1686787200000000000,248.4,247.29,258.95,255.9,160171238.0
1686700800000000000,260.17,250.5,261.57,256.79,170575536.0
1686614400000000000,253.51,251.34,259.68,258.71,162384343.0
1686528000000000000,247.94,244.59,250.97,249.83,150740523.0
1686268800000000000,249.07,242.02,252.42,244.4,200242371.0
1686182400000000000,224.22,223.01,235.23,234.86,164489739.0
1686096000000000000,228.0,223.2,230.8296,224.57,185710777.0
1686009600000000000,216.14,212.53,221.91,221.31,146911576.0
1685923200000000000,217.8,214.52,221.29,217.61,151143052.0
1685664000000000000,210.15,209.752,217.25,213.97,164398372.0
1685577600000000000,202.59,199.37,209.8,207.52,148029931.0
1685491200000000000,199.78,195.12,203.95,203.93,150711736.0
1685404800000000000,200.1,197.53,204.48,201.16,128818746.0
1685059200000000000,184.62,184.53,198.6,193.17,162061496.0
1684972800000000000,186.54,180.58,186.78,184.47,96870719.0
1684886400000000000,182.23,178.22,184.22,182.9,137605054.0
1684800000000000000,186.2,185.26,192.96,185.77,156952130.0
1684713600000000000,180.7,180.11,189.32,188.87,132001430.0
1684454400000000000,177.17,176.31,181.95,180.14,136196668.0
1684368000000000000,174.22,172.45,177.06,176.89,109520332.0
1684281600000000000,168.41,167.185,174.5,173.86,125473558.0
1684195200000000000,165.65,164.35,169.5184,166.52,98288792.0
1684108800000000000,167.655,164.5499,169.76,166.35,105592510.0
1683849600000000000,176.07,167.23,177.38,167.98,157849625.0
1683763200000000000,168.7,166.79,173.57,172.08,103889930.0
1683676800000000000,172.55,166.68,174.43,168.54,119840693.0
1683590400000000000,168.95,166.56,169.82,169.15,88965043.0
1683504000000000000,173.72,169.19,173.8,171.79,112249449.0
1683244800000000000,163.97,163.51,170.7899,170.06,107607259.0
1683158400000000000,162.71,159.65,162.95,161.2,95108492.0
1683072000000000000,160.01,159.91,165.0,160.61,119727972.0
1682985600000000000,161.88,158.93,165.49,160.31,128259744.0
1682899200000000000,163.17,158.83,163.28,161.83,109015048.0
1682640000000000000,160.9,157.32,165.0,164.31,122515812.0
1682553600000000000,152.64,152.37,160.48,160.19,127015177.0
1682467200000000000,160.29,153.14,160.67,153.75,153364142.0
1682380800000000000,159.82,158.75,163.47,160.67,121999312.0
1682294400000000000,164.65,158.61,165.65,162.55,140006559.0
1682035200000000000,164.8,161.3208,166.0,165.08,123538954.0
1681948800000000000,166.165,160.56,169.7,162.99,210970819.0
1681862400000000000,179.1,177.65,183.5,180.59,125732687.0
1681776000000000000,187.15,183.5775,187.69,184.31,92067016.0
1681689600000000000,186.32,182.69,189.69,187.04,116662189.0
1681430400000000000,183.95,182.01,186.28,185.0,96438664.0
1681344000000000000,182.955,180.94,186.5,185.9,112932985.0
1681257600000000000,190.74,180.31,191.5846,180.54,150256278.0
1681171200000000000,186.69,185.6475,189.19,186.79,115770892.0
1681084800000000000,179.94,176.11,185.1,184.51,142154637.0
1680739200000000000,183.08,179.74,186.39,185.06,123857932.0
1680652800000000000,190.515,183.76,190.68,185.52,133882493.0
1680566400000000000,197.32,190.32,198.7446,192.58,126463845.0
1680480000000000000,199.91,192.2,202.6897,194.77,169545900.0
1680220800000000000,197.53,197.2,207.79,207.46,170222118.0
1680134400000000000,195.58,194.42,197.33,195.28,110252238.0
1680048000000000000,193.13,189.44,195.29,193.88,123660026.0
1679961600000000000,192.0,185.43,192.35,189.19,98654635.0
1679875200000000000,194.415,189.94,197.39,191.81,120851587.0
1679616000000000000,191.65,187.15,192.36,190.41,116531584.0
1679529600000000000,195.26,188.65,199.31,192.22,144193876.0
1679443200000000000,199.3,190.95,200.66,191.15,150376373.0
1679356800000000000,188.28,188.04,198.0,197.58,153391444.0
1679270400000000000,178.08,176.35,186.44,183.25,129684359.0
1679011200000000000,184.515,177.33,186.2199,180.13,133197140.0
1678924800000000000,180.365,178.84,185.81,184.13,121374453.0
1678838400000000000,180.8,176.03,182.34,180.45,145995583.0
1678752000000000000,177.31,177.1401,183.8,183.26,143717897.0
1678665600000000000,167.455,163.91,177.35,174.48,167790256.0
1678406400000000000,175.13,168.44,178.29,173.44,191488872.0
1678320000000000000,180.25,172.5124,185.18,172.92,170023794.0
1678233600000000000,185.04,180.0,186.5,182.0,151897763.0
1678147200000000000,191.38,186.1,194.2,187.71,148125790.0
1678060800000000000,198.54,192.3,198.6,193.81,128100106.0
1677801600000000000,194.795,192.88,200.48,197.79,154193277.0
1677715200000000000,186.74,186.01,193.7499,190.9,181979154.0
1677628800000000000,206.21,198.52,207.2,202.77,156852790.0
1677542400000000000,210.59,203.75,211.23,205.71,153144912.0
1677456000000000000,202.03,201.26,209.42,207.63,161028315.0
1677196800000000000,196.325,192.8,197.6695,196.88,142228105.0
1677110400000000000,203.91,196.33,205.14,202.07,146359950.0
1677024000000000000,197.93,191.78,201.99,200.86,191828457.0
1676937600000000000,204.99,197.22,209.71,197.37,180018588.0
1676592000000000000,199.985,197.5,208.44,208.31,213738549.0
1676505600000000000,210.78,201.84,217.65,202.04,229586538.0
1676419200000000000,211.755,206.11,214.66,214.24,182108581.0
1676332800000000000,191.94,189.44,209.82,209.25,216455708.0
1676246400000000000,194.415,187.61,196.3,194.64,172475452.0
1675987200000000000,202.225,192.89,206.2,196.89,204754129.0
1675900800000000000,207.775,204.77,214.0,207.32,215431442.0
1675814400000000000,196.1,194.31,203.0,201.29,180673644.0
1675728000000000000,196.43,189.55,197.5,196.81,186010325.0
1675641600000000000,193.01,189.92,198.17,194.76,186188131.0
1675382400000000000,183.95,183.69,199.0,189.98,232662023.0
1675296000000000000,187.325,182.61,196.7501,188.27,217448287.0
1675209600000000000,173.89,169.93,183.805,181.41,213806323.0
1675123200000000000,164.57,162.78,174.3,173.22,196813541.0
1675036800000000000,178.05,166.5,179.77,166.66,230878807.0
1674777600000000000,162.43,161.17,180.68,177.9,306590613.0
1674691200000000000,159.965,154.76,161.42,160.27,234815090.0
1674604800000000000,141.905,138.07,146.41,144.43,192734347.0
1674518400000000000,143.0,141.1,146.5,143.89,158699056.0
1674432000000000000,135.87,134.27,145.3793,143.75,203119211.0
1674172800000000000,128.68,127.3466,133.51,133.42,138858136.0
1674086400000000000,127.26,124.3082,129.99,127.17,170291880.0
1674000000000000000,136.555,127.01,136.68,128.78,195680318.0
1673913600000000000,125.695,125.02,131.7,131.49,186476985.0
1673568000000000000,116.55,115.6,122.63,122.4,180714119.0
1673481600000000000,122.56,117.0,124.1311,123.56,169400913.0
1673395200000000000,122.09,120.51,125.95,123.22,183810771.0
1673308800000000000,121.07,114.92,122.76,118.85,167642485.0
1673222400000000000,118.96,117.11,123.52,119.77,190283951.0
1672963200000000000,103.0,101.81,114.39,113.06,220911051.0
1672876800000000000,110.51,107.1601,111.75,110.34,157986324.0
1672790400000000000,109.11,107.52,114.59,113.64,180388976.0
1672704000000000000,118.47,104.64,118.8,108.1,231402818.0
1672358400000000000,119.95,119.75,124.48,123.18,157777339.0
1672272000000000000,120.385,117.495,123.57,121.82,221923313.0
1672185600000000000,110.35,108.24,116.27,112.71,221070537.0
1672099200000000000,117.495,108.76,119.67,109.1,208643444.0
1671753600000000000,126.37,121.02,128.6173,123.15,166989688.0
1671667200000000000,136.0,122.26,136.63,125.35,210090250.0
1671580800000000000,139.335,135.89,141.26,137.57,145417412.0
1671494400000000000,146.05,137.66,148.47,137.8,159563267.0
1671408000000000000,154.0,145.82,155.25,149.87,139390634.0
1671148800000000000,159.635,150.04,160.99,150.23,139032175.0
