date,weather_code,temperature_2m_max,temperature_2m_min
2019-04-13 05:00:00,63.0,22.3675,14.3175
2019-04-14 05:00:00,55.0,17.5175,12.3175
2019-04-15 05:00:00,65.0,18.817501,6.9175
2019-04-16 05:00:00,51.0,17.167501,4.8175
2019-04-17 05:00:00,51.0,14.1675,7.7675004
2019-04-18 05:00:00,53.0,16.1175,8.4675
2019-04-19 05:00:00,63.0,21.7175,14.867499
2019-04-20 05:00:00,63.0,16.917501,11.2175
2019-04-21 05:00:00,51.0,16.5175,9.4175
2019-04-22 05:00:00,61.0,16.6175,9.367499
2019-04-23 05:00:00,51.0,22.1175,9.6675
2019-04-24 05:00:00,51.0,19.567501,11.0675
2019-04-25 05:00:00,53.0,15.4175,7.4675
2019-04-26 05:00:00,61.0,16.067501,10.367499
2019-04-27 05:00:00,61.0,12.5675,7.6175003
2019-04-28 05:00:00,53.0,11.0675,5.8675003
2019-04-29 05:00:00,55.0,12.7175,3.1675
2019-04-30 05:00:00,61.0,18.2175,8.7175
2019-05-01 05:00:00,51.0,12.4175,8.6675
2019-05-02 05:00:00,61.0,22.817501,10.2675
2019-05-03 05:00:00,63.0,14.367499,9.3175
2019-05-04 05:00:00,63.0,20.1175,10.867499
2019-05-05 05:00:00,63.0,13.617499,10.8175
2019-05-06 05:00:00,51.0,20.3675,9.2175
2019-05-07 05:00:00,55.0,17.317501,10.0675
2019-05-08 05:00:00,53.0,19.567501,10.4675
2019-05-09 05:00:00,51.0,14.5175,9.3175
2019-05-10 05:00:00,51.0,21.317501,12.117499
2019-05-11 05:00:00,63.0,19.667501,11.9675
2019-05-12 05:00:00,63.0,12.7175,7.2175
2019-05-13 05:00:00,63.0,10.9175,7.2675004
2019-05-14 05:00:00,61.0,11.7175,6.9675
2019-05-15 05:00:00,51.0,19.667501,6.1175003
2019-05-16 05:00:00,51.0,20.4675,10.2175
2019-05-17 05:00:00,55.0,23.567501,12.2175
2019-05-18 05:00:00,1.0,22.567501,11.3175
2019-05-19 05:00:00,51.0,21.317501,12.367499
2019-05-20 05:00:00,53.0,28.7675,18.5175
2019-05-21 05:00:00,1.0,20.2175,12.367499
2019-05-22 05:00:00,2.0,22.567501,9.8175
2019-05-23 05:00:00,53.0,23.567501,14.0175
2019-05-24 05:00:00,3.0,23.5175,14.6675
2019-05-25 05:00:00,51.0,19.2175,11.7175
2019-05-26 05:00:00,61.0,30.2675,14.7675
2019-05-27 05:00:00,2.0,25.7675,16.1175
2019-05-28 05:00:00,61.0,20.667501,15.7175
2019-05-29 05:00:00,53.0,20.567501,13.7675
2019-05-30 05:00:00,63.0,19.7175,13.0675
2019-05-31 05:00:00,51.0,25.7175,17.417501
2019-06-01 05:00:00,3.0,25.7675,15.6675
2019-06-02 05:00:00,61.0,26.167501,16.6175
2019-06-03 05:00:00,51.0,21.167501,12.3175
2019-06-04 05:00:00,2.0,21.2675,10.867499
2019-06-05 05:00:00,63.0,25.7175,16.3675
2019-06-06 05:00:00,63.0,27.167501,19.8675
2019-06-07 05:00:00,2.0,25.417501,16.8675
2019-06-08 05:00:00,1.0,26.2675,15.4675
2019-06-09 05:00:00,1.0,23.917501,13.5675
2019-06-10 05:00:00,61.0,20.5175,13.4675
2019-06-11 05:00:00,63.0,23.7675,15.7175
2019-06-12 05:00:00,1.0,22.417501,12.5175
2019-06-13 05:00:00,63.0,19.317501,15.2175
2019-06-14 05:00:00,51.0,22.917501,14.5175
2019-06-15 05:00:00,3.0,26.3675,12.5675
2019-06-16 05:00:00,53.0,27.0175,18.067501
2019-06-17 05:00:00,61.0,23.817501,19.1175
2019-06-18 05:00:00,61.0,24.4675,18.917501
2019-06-19 05:00:00,61.0,21.1175,17.6175
2019-06-20 05:00:00,63.0,25.417501,19.2175
2019-06-21 05:00:00,63.0,24.417501,17.8675
2019-06-22 05:00:00,1.0,24.5175,15.617499
2019-06-23 05:00:00,1.0,27.0175,15.0675
2019-06-24 05:00:00,3.0,28.2175,16.2675
2019-06-25 05:00:00,63.0,27.067501,20.2675
